id,name,title,description,priority,assign_date,task_1,task_2,task_3,task_4,completion_date,mood,mood_task_logic
1,Rohan,Fix login bug,Frontend redesign,high,9/5/2025,Deploy,Refactor code,Write REA,Test filters,9/10/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
2,Raj,Fix login bug,Minor bug fixes,medium,10/23/2025,Refactor code,Write REA,Deploy,Test filters,10/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
3,Simran,Testing Module,Security patching,medium,10/23/2025,Prepare PR,Clean data,Test filters,Review logs,10/24/2025,Neutral,Perform regular tasks; Moderate workload management
4,Karan,Testing Module,Build analytics dashboard,medium,9/29/2025,Build charts,Refactor code,Improve UI,Review logs,10/1/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
5,Vikram,Enhance Security,Minor bug fixes,high,10/28/2025,Deploy,Review logs,Clean data,Test filters,11/1/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
6,Rohan,Update API,Module-level testing,medium,10/14/2025,Improve UI,Deploy,Write REA,Clean data,10/16/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
7,Karan,Update API,Build analytics dashboard,urgent,9/4/2025,Review logs,Write REA,Improve UI,Design DB,9/5/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
8,Karan,Enhance Security,Module-level testing,low,10/2/2025,Deploy,Refactor code,Improve UI,Write REA,10/4/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
9,Vikram,Design UI,Data analytics,medium,10/25/2025,Review logs,Prepare PR,Deploy,Write REA,10/26/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
10,Vikram,Enhance Security,Module-level testing,low,10/28/2025,Deploy,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
11,Raj,Enhance Security,Module-level testing,urgent,9/25/2025,Design DB,Improve UI,Prepare PR,Clean data,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
12,Supriya,Create Dashboard,Reporting module,medium,9/29/2025,Test filters,Improve UI,Deploy,Write REA,10/3/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
13,Priya,Analyze Data,Minor bug fixes,high,9/30/2025,Test filters,Design DB,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
14,Amit,Design UI,Reporting module,medium,9/4/2025,Clean data,Test filters,Refactor code,Build charts,9/9/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
